Country,Continent,ISO_Code,Level,GDLCODE,Region,Educational index women,Life expectancy women
Nigeria,Africa,NGA,Subnat,NGAr122,Abia,0.653,58.59
Nigeria,Africa,NGA,Subnat,NGAr137,Abuja FCT,0.655,65.56
Nigeria,Africa,NGA,Subnat,NGAr108,Adamawa,0.432,61.49
Nigeria,Africa,NGA,Subnat,NGAr101,Akwa Ibom,0.612,60.24
Nigeria,Africa,NGA,Subnat,NGAr102,Anambra,0.701,64.14
Nigeria,Africa,NGA,Subnat,NGAr103,Bauchi,0.198,47.04
Nigeria,Africa,NGA,Subnat,NGAr131,Bayelsa,0.616,52.10
Nigeria,Africa,NGA,Subnat,NGAr105,Benue,0.535,62.65
Nigeria,Africa,NGA,Subnat,NGAr106,Borno,0.289,53.62
Nigeria,Africa,NGA,Subnat,NGAr107,Cross River,0.621,56.41
Nigeria,Africa,NGA,Subnat,NGAr123,Delta,0.618,56.06
Nigeria,Africa,NGA,Subnat,NGAr132,Ebonyi,0.746,68.25
Nigeria,Africa,NGA,Subnat,NGAr104,Edo,0.679,55.95
Nigeria,Africa,NGA,Subnat,NGAr133,Ekiti,0.627,61.19
Nigeria,Africa,NGA,Subnat,NGAr124,Enugu,0.655,67.24
Nigeria,Africa,NGA,Subnat,NGAr134,Gombe,0.323,56.46
Nigeria,Africa,NGA,Subnat,NGAr109,Imo,0.742,63.15
Nigeria,Africa,NGA,Subnat,NGAr125,Jigawa,0.215,45.10
Nigeria,Africa,NGA,Subnat,NGAr110,Kaduna,0.521,49.22
Nigeria,Africa,NGA,Subnat,NGAr111,Kano,0.386,46.72
Nigeria,Africa,NGA,Subnat,NGAr112,Katsina,0.287,48.41
Nigeria,Africa,NGA,Subnat,NGAr126,Kebbi,0.164,45.17
Nigeria,Africa,NGA,Subnat,NGAr127,Kogi,0.610,63.13
Nigeria,Africa,NGA,Subnat,NGAr113,Kwara,0.529,62.22
Nigeria,Africa,NGA,Subnat,NGAr114,Lagos,0.746,70.08
Nigeria,Africa,NGA,Subnat,NGAr135,Nassarawa,0.447,59.14
Nigeria,Africa,NGA,Subnat,NGAr115,Niger,0.335,61.46
Nigeria,Africa,NGA,Subnat,NGAr116,Ogun,0.577,56.60
Nigeria,Africa,NGA,Subnat,NGAr117,Ondo,0.603,62.22
Nigeria,Africa,NGA,Subnat,NGAr128,Osun,0.556,62.33
Nigeria,Africa,NGA,Subnat,NGAr118,Oyo,0.595,61.21
Nigeria,Africa,NGA,Subnat,NGAr119,Plateau,0.566,56.85
Nigeria,Africa,NGA,Subnat,NGAr120,Rivers,0.703,50.24
Nigeria,Africa,NGA,Subnat,NGAr121,Sokoto,0.222,46.10
Nigeria,Africa,NGA,Subnat,NGAr129,Taraba,0.418,60.80
Nigeria,Africa,NGA,Subnat,NGAr130,Yobe,0.233,62.95
Nigeria,Africa,NGA,Subnat,NGAr136,Zamfora,0.173,50.88